matchday,ta_key,tb_key,ta_odds,draw_odds,tb_odds,ta_goals,tb_goals,twoone_goals_home,twoone_goals_away,odds_goals_home,odds_goals_away,lgb_class_goals_home,lgb_class_goals_away,lgb_goals_goals_home,lgb_goals_goals_away,max_goals_home,max_goals_away
1,1-fc-koeln,hertha-bsc,2.57,3.34,2.8,3,1,2.0,1.0,1.0,1.0,1,1,1,1,3,1
3,1-fc-koeln,vfl-bochum,1.88,3.73,4.11,2,1,2.0,1.0,2.0,1.0,2,1,2,1,2,1
5,1-fc-koeln,rb-leipzig,4.37,3.95,1.78,1,1,1.0,2.0,1.0,2.0,1,3,1,3,1,1
7,1-fc-koeln,spvgg-greuther-fuerth,1.46,4.83,6.76,3,1,2.0,1.0,3.0,1.0,3,1,3,1,3,1
9,1-fc-koeln,bayer-leverkusen,3.2,3.89,2.09,2,2,1.0,2.0,1.0,2.0,1,2,1,3,2,2
11,1-fc-koeln,1-fc-union-berlin,2.11,3.55,3.44,2,2,2.0,1.0,2.0,1.0,2,1,3,1,2,2
13,1-fc-koeln,borussia-moenchengladbach,2.84,3.6,2.4,4,1,1.0,2.0,1.0,2.0,1,2,1,2,4,1
15,1-fc-koeln,fc-augsburg,1.69,3.98,4.98,0,2,2.0,1.0,2.0,1.0,3,1,3,1,0,2
17,1-fc-koeln,vfb-stuttgart,1.97,3.88,3.57,1,0,2.0,1.0,2.0,1.0,2,1,3,1,1,0
19,1-fc-koeln,fc-bayern-muenchen,7.7,5.77,1.35,0,4,1.0,2.0,1.0,3.0,1,3,1,3,0,4
21,1-fc-koeln,sc-freiburg,2.4,3.52,2.91,1,0,2.0,1.0,2.0,1.0,2,1,2,1,1,0
23,1-fc-koeln,eintracht-frankfurt,2.28,3.66,3.02,1,0,2.0,1.0,2.0,1.0,2,1,3,1,1,0
25,1-fc-koeln,1899-hoffenheim,2.7,3.52,2.57,0,1,1.0,2.0,1.0,1.0,2,1,3,1,0,1
27,1-fc-koeln,borussia-dortmund,3.44,3.87,2.02,1,1,1.0,2.0,1.0,2.0,1,2,1,3,1,1
29,1-fc-koeln,1-fsv-mainz-05,2.5,3.38,2.9,3,2,2.0,1.0,2.0,1.0,2,1,2,1,3,2
31,1-fc-koeln,arminia-bielefeld,1.54,4.36,6.27,3,1,2.0,1.0,3.0,1.0,3,1,3,1,3,1
33,1-fc-koeln,vfl-wolfsburg,1.62,4.48,5.0,0,1,2.0,1.0,2.0,1.0,3,1,3,1,0,1
1,1-fc-union-berlin,bayer-leverkusen,2.79,3.36,2.57,1,1,1.0,2.0,1.0,1.0,1,1,1,1,1,1
3,1-fc-union-berlin,borussia-moenchengladbach,2.58,3.3,2.82,2,1,2.0,1.0,1.0,1.0,1,1,1,1,2,1
4,1-fc-union-berlin,fc-augsburg,1.73,3.94,4.69,0,0,2.0,1.0,2.0,1.0,3,1,3,1,0,0
6,1-fc-union-berlin,arminia-bielefeld,1.72,3.73,5.13,1,0,2.0,1.0,2.0,1.0,3,1,3,1,1,0
8,1-fc-union-berlin,vfl-wolfsburg,2.73,3.19,2.73,2,0,1.0,2.0,1.0,1.0,1,2,1,2,2,0
10,1-fc-union-berlin,fc-bayern-muenchen,8.73,5.69,1.32,2,5,1.0,2.0,1.0,3.0,1,3,1,3,2,5
12,1-fc-union-berlin,hertha-bsc,2.0,3.44,3.97,2,0,2.0,1.0,2.0,1.0,2,1,3,1,2,0
14,1-fc-union-berlin,rb-leipzig,3.52,3.53,2.11,2,1,1.0,2.0,1.0,2.0,1,2,1,3,2,1
16,1-fc-union-berlin,sc-freiburg,2.47,3.3,2.98,0,0,2.0,1.0,2.0,1.0,2,1,2,1,0,0
19,1-fc-union-berlin,1899-hoffenheim,2.85,3.49,2.45,2,1,1.0,2.0,1.0,2.0,1,1,2,1,2,1
22,1-fc-union-berlin,borussia-dortmund,3.9,3.9,1.88,0,3,1.0,2.0,1.0,2.0,1,2,1,3,0,3
24,1-fc-union-berlin,1-fsv-mainz-05,2.66,3.22,2.81,3,1,2.0,1.0,1.0,1.0,1,1,2,1,3,1
26,1-fc-union-berlin,vfb-stuttgart,2.12,3.48,3.54,1,1,2.0,1.0,2.0,1.0,2,1,3,1,1,1
28,1-fc-union-berlin,1-fc-koeln,2.33,3.25,3.32,1,0,2.0,1.0,2.0,1.0,2,1,2,1,1,0
30,1-fc-union-berlin,eintracht-frankfurt,2.16,3.42,3.46,2,0,2.0,1.0,2.0,1.0,2,1,2,1,2,0
32,1-fc-union-berlin,spvgg-greuther-fuerth,1.27,5.71,13.47,1,1,2.0,1.0,4.0,1.0,3,1,3,1,1,1
34,1-fc-union-berlin,vfl-bochum,1.41,5.13,7.32,3,2,2.0,1.0,3.0,1.0,3,1,3,1,3,2
1,1-fsv-mainz-05,rb-leipzig,8.07,5.44,1.35,1,0,1.0,2.0,1.0,3.0,1,3,1,3,1,0
3,1-fsv-mainz-05,spvgg-greuther-fuerth,1.71,3.97,4.9,3,0,2.0,1.0,2.0,1.0,2,1,2,1,3,0
5,1-fsv-mainz-05,sc-freiburg,2.07,3.58,3.53,0,0,2.0,1.0,2.0,1.0,2,1,3,1,0,0
7,1-fsv-mainz-05,1-fc-union-berlin,2.09,3.35,3.71,1,2,2.0,1.0,2.0,1.0,2,1,3,1,1,2
9,1-fsv-mainz-05,fc-augsburg,1.66,3.79,5.64,4,1,2.0,1.0,2.0,1.0,3,1,3,1,4,1
11,1-fsv-mainz-05,borussia-moenchengladbach,2.68,3.52,2.59,1,1,1.0,2.0,1.0,1.0,1,2,3,1,1,1
12,1-fsv-mainz-05,1-fc-koeln,2.14,3.56,3.36,1,1,2.0,1.0,2.0,1.0,2,1,3,1,1,1
14,1-fsv-mainz-05,vfl-wolfsburg,2.53,3.27,2.92,3,0,2.0,1.0,2.0,1.0,2,1,2,1,3,0
16,1-fsv-mainz-05,hertha-bsc,1.95,3.52,4.12,4,0,2.0,1.0,2.0,1.0,2,1,3,1,4,0
19,1-fsv-mainz-05,vfl-bochum,1.69,3.71,5.46,1,0,2.0,1.0,2.0,1.0,3,1,3,1,1,0
21,1-fsv-mainz-05,1899-hoffenheim,2.66,3.41,2.69,2,0,2.0,1.0,1.0,1.0,1,1,2,1,2,0
23,1-fsv-mainz-05,bayer-leverkusen,3.25,3.66,2.19,3,2,1.0,2.0,1.0,2.0,1,1,1,3,3,2
25,1-fsv-mainz-05,borussia-dortmund,4.06,3.84,1.87,0,1,1.0,2.0,1.0,2.0,1,2,1,3,0,1
27,1-fsv-mainz-05,arminia-bielefeld,1.64,3.76,6.08,4,0,2.0,1.0,3.0,1.0,3,1,3,1,4,0
30,1-fsv-mainz-05,vfb-stuttgart,2.01,3.56,3.78,0,0,2.0,1.0,2.0,1.0,2,1,3,1,0,0
32,1-fsv-mainz-05,fc-bayern-muenchen,5.58,4.79,1.53,3,1,1.0,2.0,1.0,3.0,1,3,1,3,3,1
34,1-fsv-mainz-05,eintracht-frankfurt,1.69,4.41,4.5,2,2,2.0,1.0,2.0,1.0,3,1,3,1,2,2
2,1899-hoffenheim,1-fc-union-berlin,2.06,3.58,3.58,2,2,2.0,1.0,2.0,1.0,2,1,2,1,2,2
4,1899-hoffenheim,1-fsv-mainz-05,2.03,3.8,3.46,0,2,2.0,1.0,2.0,1.0,2,1,3,1,0,2
6,1899-hoffenheim,vfl-wolfsburg,2.84,3.48,2.48,3,1,1.0,2.0,1.0,2.0,1,1,2,1,3,1
8,1899-hoffenheim,1-fc-koeln,2.08,3.81,3.32,5,0,2.0,1.0,2.0,1.0,2,1,3,1,5,0
10,1899-hoffenheim,hertha-bsc,1.72,3.96,4.74,2,0,2.0,1.0,2.0,1.0,3,1,3,1,2,0
12,1899-hoffenheim,rb-leipzig,4.04,4.2,1.79,2,0,1.0,2.0,1.0,2.0,1,2,1,3,2,0
14,1899-hoffenheim,eintracht-frankfurt,1.9,3.94,3.8,3,2,2.0,1.0,2.0,1.0,2,1,3,1,3,2
17,1899-hoffenheim,borussia-moenchengladbach,2.04,3.97,3.31,1,1,2.0,1.0,2.0,1.0,2,1,3,1,1,1
18,1899-hoffenheim,fc-augsburg,1.57,4.4,5.49,3,1,2.0,1.0,2.0,1.0,3,1,3,1,3,1
20,1899-hoffenheim,borussia-dortmund,3.03,4.06,2.13,2,3,1.0,2.0,1.0,2.0,1,2,1,3,2,3
22,1899-hoffenheim,arminia-bielefeld,1.52,4.41,6.14,2,0,2.0,1.0,3.0,1.0,3,1,3,1,2,0
24,1899-hoffenheim,vfb-stuttgart,1.53,4.59,5.88,2,1,2.0,1.0,3.0,1.0,3,1,3,1,2,1
26,1899-hoffenheim,fc-bayern-muenchen,4.83,4.99,1.58,1,1,1.0,2.0,1.0,2.0,1,2,1,3,1,1
28,1899-hoffenheim,vfl-bochum,1.51,4.56,6.23,1,2,2.0,1.0,3.0,1.0,3,1,3,1,1,2
30,1899-hoffenheim,spvgg-greuther-fuerth,1.27,6.29,10.51,0,0,2.0,1.0,4.0,1.0,4,1,4,1,0,0
32,1899-hoffenheim,sc-freiburg,2.48,3.55,2.8,3,4,2.0,1.0,2.0,1.0,2,1,3,1,3,4
33,1899-hoffenheim,bayer-leverkusen,3.25,4.05,2.06,2,4,1.0,2.0,1.0,2.0,1,1,1,3,2,4
1,arminia-bielefeld,sc-freiburg,2.92,3.27,2.52,0,0,1.0,2.0,1.0,2.0,1,2,1,2,0,0
3,arminia-bielefeld,eintracht-frankfurt,3.41,3.63,2.11,1,1,1.0,2.0,1.0,2.0,1,2,1,2,1,1
5,arminia-bielefeld,1899-hoffenheim,3.55,3.57,2.08,0,0,1.0,2.0,1.0,2.0,1,2,1,3,0,0
7,arminia-bielefeld,bayer-leverkusen,5.05,3.95,1.69,0,4,1.0,2.0,1.0,2.0,1,3,1,3,0,4
9,arminia-bielefeld,borussia-dortmund,6.35,4.5,1.5,1,3,1.0,2.0,1.0,3.0,1,3,1,3,1,3
10,arminia-bielefeld,1-fsv-mainz-05,3.67,3.35,2.1,1,2,1.0,2.0,1.0,2.0,1,2,1,3,1,2
12,arminia-bielefeld,vfl-wolfsburg,4.02,3.47,1.97,2,2,1.0,2.0,1.0,2.0,1,2,1,3,2,2
14,arminia-bielefeld,1-fc-koeln,3.39,3.48,2.17,1,1,1.0,2.0,1.0,2.0,1,2,1,3,1,1
16,arminia-bielefeld,vfl-bochum,2.33,3.4,3.14,2,0,2.0,1.0,2.0,1.0,2,1,2,1,2,0
19,arminia-bielefeld,spvgg-greuther-fuerth,1.98,3.46,3.96,2,2,2.0,1.0,2.0,1.0,3,1,3,1,2,2
21,arminia-bielefeld,borussia-moenchengladbach,3.4,3.48,2.16,1,1,1.0,2.0,1.0,2.0,1,2,1,2,1,1
23,arminia-bielefeld,1-fc-union-berlin,3.06,3.24,2.46,1,0,1.0,2.0,1.0,2.0,1,2,1,2,1,0
25,arminia-bielefeld,fc-augsburg,2.57,3.23,2.93,0,1,2.0,1.0,2.0,1.0,2,1,2,1,0,1
28,arminia-bielefeld,vfb-stuttgart,3.15,3.33,2.35,1,1,1.0,2.0,1.0,2.0,1,2,1,2,1,1
30,arminia-bielefeld,fc-bayern-muenchen,14.25,7.55,1.19,0,3,1.0,2.0,1.0,4.0,1,4,1,3,0,3
32,arminia-bielefeld,hertha-bsc,2.65,3.27,2.79,1,1,2.0,1.0,1.0,1.0,1,1,2,1,1,1
34,arminia-bielefeld,rb-leipzig,11.03,6.61,1.25,1,1,1.0,2.0,1.0,4.0,1,4,1,4,1,1
2,bayer-leverkusen,borussia-moenchengladbach,2.32,3.62,2.95,4,0,2.0,1.0,2.0,1.0,2,1,2,1,4,0
4,bayer-leverkusen,borussia-dortmund,3.11,3.84,2.17,3,4,1.0,2.0,1.0,2.0,1,2,1,3,3,4
6,bayer-leverkusen,1-fsv-mainz-05,1.75,4.0,4.46,1,0,2.0,1.0,2.0,1.0,3,1,3,1,1,0
8,bayer-leverkusen,fc-bayern-muenchen,4.88,4.57,1.61,1,5,1.0,2.0,1.0,2.0,1,2,1,3,1,5
10,bayer-leverkusen,vfl-wolfsburg,1.95,3.62,3.88,0,2,2.0,1.0,2.0,1.0,2,1,3,1,0,2
12,bayer-leverkusen,vfl-bochum,1.4,5.04,7.77,1,0,2.0,1.0,3.0,1.0,3,1,3,1,1,0
14,bayer-leverkusen,spvgg-greuther-fuerth,1.24,6.68,11.59,7,1,2.0,1.0,4.0,1.0,4,1,3,1,7,1
16,bayer-leverkusen,1899-hoffenheim,1.85,4.08,3.88,2,2,2.0,1.0,2.0,1.0,3,1,3,1,2,2
18,bayer-leverkusen,1-fc-union-berlin,1.84,3.77,4.2,2,2,2.0,1.0,2.0,1.0,3,1,3,1,2,2
20,bayer-leverkusen,fc-augsburg,1.44,4.65,7.26,5,1,2.0,1.0,3.0,1.0,3,1,3,1,5,1
22,bayer-leverkusen,vfb-stuttgart,1.42,5.04,7.02,4,2,2.0,1.0,3.0,1.0,4,1,3,1,4,2
24,bayer-leverkusen,arminia-bielefeld,1.37,5.18,8.62,3,0,2.0,1.0,3.0,1.0,4,1,3,1,3,0
26,bayer-leverkusen,1-fc-koeln,1.62,4.39,5.06,0,1,2.0,1.0,2.0,1.0,3,1,3,1,0,1
28,bayer-leverkusen,hertha-bsc,1.42,5.07,6.96,2,1,2.0,1.0,3.0,1.0,4,1,3,1,2,1
30,bayer-leverkusen,rb-leipzig,2.97,3.67,2.31,0,1,1.0,2.0,1.0,2.0,1,2,1,3,0,1
32,bayer-leverkusen,eintracht-frankfurt,1.42,5.12,6.88,2,0,2.0,1.0,3.0,1.0,4,1,3,1,2,0
34,bayer-leverkusen,sc-freiburg,2.4,4.0,2.66,2,1,2.0,1.0,1.0,1.0,1,1,3,2,2,1
1,borussia-dortmund,eintracht-frankfurt,1.44,5.17,6.49,5,2,2.0,1.0,3.0,1.0,3,1,3,1,5,2
3,borussia-dortmund,1899-hoffenheim,1.44,5.23,6.51,3,2,2.0,1.0,3.0,1.0,3,1,3,1,3,2
5,borussia-dortmund,1-fc-union-berlin,1.37,5.25,8.07,4,2,2.0,1.0,3.0,1.0,3,1,3,1,4,2
7,borussia-dortmund,fc-augsburg,1.23,6.62,12.16,2,1,2.0,1.0,4.0,1.0,3,1,4,1,2,1
8,borussia-dortmund,1-fsv-mainz-05,1.42,4.94,7.19,3,1,2.0,1.0,3.0,1.0,3,1,3,1,3,1
10,borussia-dortmund,1-fc-koeln,1.48,4.87,5.94,2,0,2.0,1.0,3.0,1.0,3,1,3,1,2,0
12,borussia-dortmund,vfb-stuttgart,1.35,5.44,8.55,2,1,2.0,1.0,3.0,1.0,3,1,3,1,2,1
14,borussia-dortmund,fc-bayern-muenchen,3.91,4.32,1.81,2,3,1.0,2.0,1.0,2.0,1,2,1,3,2,3
16,borussia-dortmund,spvgg-greuther-fuerth,1.12,9.8,21.42,3,0,2.0,1.0,4.0,1.0,4,1,4,1,3,0
19,borussia-dortmund,sc-freiburg,1.46,4.96,6.29,5,1,2.0,1.0,3.0,1.0,3,1,3,1,5,1
21,borussia-dortmund,bayer-leverkusen,1.93,4.05,3.6,2,5,2.0,1.0,2.0,1.0,2,1,3,1,2,5
23,borussia-dortmund,borussia-moenchengladbach,1.63,4.42,4.97,6,0,2.0,1.0,2.0,1.0,3,1,3,1,6,0
26,borussia-dortmund,arminia-bielefeld,1.27,6.09,10.71,1,0,2.0,1.0,4.0,1.0,4,1,3,1,1,0
28,borussia-dortmund,rb-leipzig,2.44,3.74,2.74,1,4,2.0,1.0,2.0,1.0,1,2,3,2,1,4
30,borussia-dortmund,vfl-wolfsburg,1.53,4.5,5.99,6,1,2.0,1.0,3.0,1.0,3,1,3,1,6,1
32,borussia-dortmund,vfl-bochum,1.36,5.4,8.01,3,4,2.0,1.0,3.0,1.0,4,1,3,1,3,4
34,borussia-dortmund,hertha-bsc,1.52,4.98,5.49,2,1,2.0,1.0,2.0,1.0,3,1,3,1,2,1
1,borussia-moenchengladbach,fc-bayern-muenchen,4.54,4.32,1.7,1,1,1.0,2.0,1.0,2.0,1,2,1,2,1,1
4,borussia-moenchengladbach,arminia-bielefeld,1.46,4.68,6.86,3,1,2.0,1.0,3.0,1.0,3,1,3,1,3,1
6,borussia-moenchengladbach,borussia-dortmund,4.09,4.26,1.77,1,0,1.0,2.0,1.0,2.0,1,2,1,3,1,0
8,borussia-moenchengladbach,vfb-stuttgart,1.52,4.65,5.75,1,1,2.0,1.0,3.0,1.0,3,1,3,1,1,1
10,borussia-moenchengladbach,vfl-bochum,1.36,5.12,8.37,2,1,2.0,1.0,3.0,1.0,3,1,3,1,2,1
12,borussia-moenchengladbach,spvgg-greuther-fuerth,1.31,5.56,9.98,4,0,2.0,1.0,4.0,1.0,4,1,3,1,4,0
14,borussia-moenchengladbach,sc-freiburg,1.86,3.75,4.15,0,6,2.0,1.0,2.0,1.0,3,1,3,1,0,6
16,borussia-moenchengladbach,eintracht-frankfurt,2.02,3.71,3.58,2,3,2.0,1.0,2.0,1.0,2,1,3,1,2,3
19,borussia-moenchengladbach,bayer-leverkusen,2.61,3.85,2.48,1,2,1.0,2.0,1.0,1.0,1,1,1,3,1,2
20,borussia-moenchengladbach,1-fc-union-berlin,2.26,3.42,3.23,1,2,2.0,1.0,2.0,1.0,2,1,2,1,1,2
22,borussia-moenchengladbach,fc-augsburg,1.68,4.19,4.78,3,2,2.0,1.0,2.0,1.0,3,1,3,1,3,2
24,borussia-moenchengladbach,vfl-wolfsburg,2.07,3.53,3.62,2,2,2.0,1.0,2.0,1.0,2,1,3,1,2,2
26,borussia-moenchengladbach,hertha-bsc,1.58,4.51,5.21,2,0,2.0,1.0,2.0,1.0,3,1,3,1,2,0
28,borussia-moenchengladbach,1-fsv-mainz-05,2.28,3.56,3.1,1,1,2.0,1.0,2.0,1.0,2,1,3,1,1,1
30,borussia-moenchengladbach,1-fc-koeln,2.0,3.78,3.57,1,3,2.0,1.0,2.0,1.0,2,1,3,1,1,3
32,borussia-moenchengladbach,rb-leipzig,4.18,4.1,1.79,3,1,1.0,2.0,1.0,2.0,1,2,1,3,3,1
34,borussia-moenchengladbach,1899-hoffenheim,2.04,4.4,3.08,5,1,2.0,1.0,2.0,1.0,2,1,3,1,5,1
2,eintracht-frankfurt,fc-augsburg,1.61,4.38,5.1,0,0,2.0,1.0,2.0,1.0,2,1,2,1,0,0
4,eintracht-frankfurt,vfb-stuttgart,2.05,3.76,3.44,1,1,2.0,1.0,2.0,1.0,2,1,1,3,1,1
6,eintracht-frankfurt,1-fc-koeln,2.04,3.8,3.46,1,1,2.0,1.0,2.0,1.0,2,1,3,1,1,1
8,eintracht-frankfurt,hertha-bsc,1.75,3.86,4.67,1,2,2.0,1.0,2.0,1.0,3,1,3,1,1,2
10,eintracht-frankfurt,rb-leipzig,4.01,4.03,1.82,1,1,1.0,2.0,1.0,2.0,1,3,1,3,1,1
13,eintracht-frankfurt,1-fc-union-berlin,2.34,3.48,2.99,2,1,2.0,1.0,2.0,1.0,2,1,2,1,2,1
15,eintracht-frankfurt,bayer-leverkusen,3.25,3.76,2.12,5,2,1.0,2.0,1.0,2.0,1,2,1,3,5,2
17,eintracht-frankfurt,1-fsv-mainz-05,2.33,3.51,3.03,1,0,2.0,1.0,2.0,1.0,2,1,3,1,1,0
18,eintracht-frankfurt,borussia-dortmund,3.55,3.95,1.97,2,3,1.0,2.0,1.0,2.0,1,2,1,3,2,3
20,eintracht-frankfurt,arminia-bielefeld,1.78,3.64,4.79,0,2,2.0,1.0,2.0,1.0,3,1,3,1,0,2
22,eintracht-frankfurt,vfl-wolfsburg,2.23,3.44,3.28,0,2,2.0,1.0,2.0,1.0,2,1,3,1,0,2
24,eintracht-frankfurt,fc-bayern-muenchen,6.35,5.09,1.45,0,1,1.0,2.0,1.0,3.0,1,3,1,3,0,1
