matchday,ta_key,tb_key,ta_odds,draw_odds,tb_odds,ta_goals,tb_goals,twoone_goals_home,twoone_goals_away,odds_goals_home,odds_goals_away,lgb_class_goals_home,lgb_class_goals_away,lgb_goals_goals_home,lgb_goals_goals_away,max_goals_home,max_goals_away
26,eintracht-frankfurt,vfl-bochum,1.89,3.59,4.24,2,1,2.0,1.0,2.0,1.0,3,1,3,1,2,1
28,eintracht-frankfurt,spvgg-greuther-fuerth,1.45,4.81,6.94,0,0,2.0,1.0,3.0,1.0,3,1,3,1,0,0
29,eintracht-frankfurt,sc-freiburg,2.46,3.39,2.93,1,2,2.0,1.0,2.0,1.0,2,1,2,1,1,2
31,eintracht-frankfurt,1899-hoffenheim,2.53,3.7,2.67,2,2,2.0,1.0,1.0,1.0,1,2,1,2,2,2
33,eintracht-frankfurt,borussia-moenchengladbach,2.34,3.92,2.79,1,1,2.0,1.0,2.0,1.0,2,1,3,1,1,1
1,fc-augsburg,1899-hoffenheim,3.19,3.68,2.17,0,4,1.0,2.0,1.0,2.0,1,2,1,2,0,4
3,fc-augsburg,bayer-leverkusen,4.75,3.87,1.74,1,4,1.0,2.0,1.0,2.0,1,2,1,2,1,4
5,fc-augsburg,borussia-moenchengladbach,4.1,3.9,1.84,1,0,1.0,2.0,1.0,2.0,1,3,1,3,1,0
8,fc-augsburg,arminia-bielefeld,2.3,3.21,3.32,1,1,2.0,1.0,2.0,1.0,1,1,2,1,1,1
10,fc-augsburg,vfb-stuttgart,2.94,3.26,2.49,4,1,1.0,2.0,1.0,2.0,1,2,1,2,4,1
12,fc-augsburg,fc-bayern-muenchen,14.62,7.65,1.19,2,1,1.0,2.0,1.0,4.0,1,4,1,3,2,1
14,fc-augsburg,vfl-bochum,2.35,3.33,3.14,2,3,2.0,1.0,2.0,1.0,2,1,2,1,2,3
16,fc-augsburg,rb-leipzig,6.38,4.7,1.48,1,1,1.0,2.0,1.0,3.0,1,3,1,3,1,1
19,fc-augsburg,eintracht-frankfurt,3.46,3.53,2.11,1,1,1.0,2.0,1.0,2.0,1,2,1,2,1,1
21,fc-augsburg,1-fc-union-berlin,2.78,3.31,2.62,2,0,1.0,2.0,1.0,1.0,1,1,2,1,2,0
23,fc-augsburg,sc-freiburg,3.1,3.37,2.36,1,2,1.0,2.0,1.0,2.0,1,2,1,2,1,2
24,fc-augsburg,borussia-dortmund,5.36,4.23,1.62,1,1,1.0,2.0,1.0,2.0,1,3,1,3,1,1
26,fc-augsburg,1-fsv-mainz-05,3.34,3.3,2.27,2,1,1.0,2.0,1.0,2.0,1,2,1,2,2,1
28,fc-augsburg,vfl-wolfsburg,2.97,3.29,2.49,3,0,1.0,2.0,1.0,2.0,1,2,1,2,3,0
30,fc-augsburg,hertha-bsc,1.93,3.61,4.03,0,1,2.0,1.0,2.0,1.0,3,1,3,1,0,1
32,fc-augsburg,1-fc-koeln,2.82,3.44,2.51,1,4,1.0,2.0,1.0,2.0,2,1,2,1,1,4
34,fc-augsburg,spvgg-greuther-fuerth,1.58,4.72,5.09,2,1,2.0,1.0,2.0,1.0,3,1,3,1,2,1
2,fc-bayern-muenchen,1-fc-koeln,1.13,9.35,19.76,3,2,2.0,1.0,4.0,1.0,4,1,4,1,3,2
3,fc-bayern-muenchen,hertha-bsc,1.18,7.96,14.67,5,0,2.0,1.0,4.0,1.0,4,1,4,1,5,0
5,fc-bayern-muenchen,vfl-bochum,1.07,13.19,31.99,7,0,2.0,1.0,4.0,1.0,4,1,4,1,7,0
7,fc-bayern-muenchen,eintracht-frankfurt,1.17,8.35,14.57,1,2,2.0,1.0,4.0,1.0,3,1,3,1,1,2
9,fc-bayern-muenchen,1899-hoffenheim,1.17,8.31,14.03,4,0,2.0,1.0,4.0,1.0,4,1,3,1,4,0
11,fc-bayern-muenchen,sc-freiburg,1.18,7.94,14.45,2,1,2.0,1.0,4.0,1.0,4,1,3,1,2,1
13,fc-bayern-muenchen,arminia-bielefeld,1.09,11.5,28.43,1,0,2.0,1.0,4.0,1.0,4,1,4,1,1,0
15,fc-bayern-muenchen,1-fsv-mainz-05,1.23,7.04,11.59,2,1,2.0,1.0,4.0,1.0,4,1,3,1,2,1
17,fc-bayern-muenchen,vfl-wolfsburg,1.2,7.54,13.18,4,0,2.0,1.0,4.0,1.0,4,1,4,1,4,0
18,fc-bayern-muenchen,borussia-moenchengladbach,1.36,5.85,7.39,1,2,2.0,1.0,3.0,1.0,4,1,4,1,1,2
21,fc-bayern-muenchen,rb-leipzig,1.41,5.37,6.78,3,2,2.0,1.0,3.0,1.0,4,1,4,1,3,2
23,fc-bayern-muenchen,spvgg-greuther-fuerth,1.07,13.12,30.35,4,1,2.0,1.0,4.0,1.0,4,1,4,1,4,1
25,fc-bayern-muenchen,bayer-leverkusen,1.4,5.62,6.64,1,1,2.0,1.0,3.0,1.0,3,1,4,1,1,1
27,fc-bayern-muenchen,1-fc-union-berlin,1.18,7.84,15.23,4,0,2.0,1.0,4.0,1.0,4,1,4,1,4,0
29,fc-bayern-muenchen,fc-augsburg,1.12,9.91,19.97,1,0,2.0,1.0,4.0,1.0,4,1,4,1,1,0
31,fc-bayern-muenchen,borussia-dortmund,1.38,5.65,7.12,3,1,2.0,1.0,3.0,1.0,4,1,4,1,3,1
33,fc-bayern-muenchen,vfb-stuttgart,1.25,6.82,10.75,2,2,2.0,1.0,4.0,1.0,4,1,4,1,2,2
2,hertha-bsc,vfl-wolfsburg,3.06,3.44,2.33,1,2,1.0,2.0,1.0,2.0,1,2,1,2,1,2
5,hertha-bsc,spvgg-greuther-fuerth,1.81,3.75,4.51,2,1,2.0,1.0,2.0,1.0,3,1,3,1,2,1
7,hertha-bsc,sc-freiburg,2.88,3.35,2.51,1,2,1.0,2.0,1.0,2.0,1,1,2,1,1,2
9,hertha-bsc,borussia-moenchengladbach,3.72,3.63,1.99,1,0,1.0,2.0,1.0,2.0,1,2,1,3,1,0
11,hertha-bsc,bayer-leverkusen,3.53,3.59,2.06,1,1,1.0,2.0,1.0,2.0,1,2,1,2,1,1
13,hertha-bsc,fc-augsburg,2.16,3.23,3.7,1,1,2.0,1.0,2.0,1.0,2,1,2,1,1,1
15,hertha-bsc,arminia-bielefeld,2.05,3.3,3.95,2,0,2.0,1.0,2.0,1.0,2,1,2,1,2,0
17,hertha-bsc,borussia-dortmund,5.21,4.39,1.6,3,2,1.0,2.0,1.0,2.0,1,3,1,3,3,2
18,hertha-bsc,1-fc-koeln,2.75,3.48,2.52,1,3,1.0,2.0,1.0,1.0,2,1,1,2,1,3
20,hertha-bsc,fc-bayern-muenchen,11.06,6.92,1.23,1,4,1.0,2.0,1.0,4.0,1,4,1,3,1,4
21,hertha-bsc,vfl-bochum,2.19,3.45,3.38,1,1,2.0,1.0,2.0,1.0,2,1,2,1,1,1
23,hertha-bsc,rb-leipzig,6.15,4.29,1.55,1,6,1.0,2.0,1.0,3.0,1,3,1,3,1,6
25,hertha-bsc,eintracht-frankfurt,3.3,3.54,2.19,1,4,1.0,2.0,1.0,2.0,1,2,1,2,1,4
27,hertha-bsc,1899-hoffenheim,4.36,4.22,1.74,3,0,1.0,2.0,1.0,2.0,1,2,1,2,3,0
29,hertha-bsc,1-fc-union-berlin,2.88,3.23,2.59,1,4,1.0,2.0,1.0,1.0,2,1,2,1,1,4
31,hertha-bsc,vfb-stuttgart,3.03,3.34,2.42,2,0,1.0,2.0,1.0,2.0,1,2,1,3,2,0
33,hertha-bsc,1-fsv-mainz-05,2.49,3.47,2.84,1,2,2.0,1.0,2.0,1.0,2,1,2,1,1,2
2,rb-leipzig,vfb-stuttgart,1.42,4.98,7.24,4,0,2.0,1.0,3.0,1.0,3,1,3,1,4,0
4,rb-leipzig,fc-bayern-muenchen,2.99,3.87,2.22,1,4,1.0,2.0,1.0,2.0,1,2,1,3,1,4
6,rb-leipzig,hertha-bsc,1.35,5.27,8.85,6,0,2.0,1.0,3.0,1.0,3,1,3,1,6,0
7,rb-leipzig,vfl-bochum,1.22,6.84,13.05,3,0,2.0,1.0,4.0,1.0,4,1,3,1,3,0
9,rb-leipzig,spvgg-greuther-fuerth,1.14,8.8,19.29,4,1,2.0,1.0,4.0,1.0,4,1,4,1,4,1
11,rb-leipzig,borussia-dortmund,1.99,3.81,3.58,2,1,2.0,1.0,2.0,1.0,2,1,3,1,2,1
13,rb-leipzig,bayer-leverkusen,1.83,3.96,4.03,1,3,2.0,1.0,2.0,1.0,3,1,3,1,1,3
15,rb-leipzig,borussia-moenchengladbach,1.75,4.19,4.32,4,1,2.0,1.0,2.0,1.0,2,1,3,1,4,1
17,rb-leipzig,arminia-bielefeld,1.22,6.59,13.97,0,2,2.0,1.0,4.0,1.0,3,1,3,1,0,2
18,rb-leipzig,1-fsv-mainz-05,1.79,3.87,4.42,4,1,2.0,1.0,2.0,1.0,3,1,3,1,4,1
20,rb-leipzig,vfl-wolfsburg,1.53,4.31,6.26,2,0,2.0,1.0,3.0,1.0,3,1,3,1,2,0
22,rb-leipzig,1-fc-koeln,1.45,4.92,6.88,3,1,2.0,1.0,3.0,1.0,3,1,3,1,3,1
25,rb-leipzig,sc-freiburg,1.63,4.25,5.27,1,1,2.0,1.0,2.0,1.0,3,1,3,1,1,1
27,rb-leipzig,eintracht-frankfurt,1.42,4.94,7.28,0,0,2.0,1.0,3.0,1.0,4,1,3,1,0,0
29,rb-leipzig,1899-hoffenheim,1.5,4.79,5.99,3,0,2.0,1.0,3.0,1.0,3,1,3,1,3,0
31,rb-leipzig,1-fc-union-berlin,1.54,4.17,6.62,1,2,2.0,1.0,3.0,1.0,3,1,3,1,1,2
33,rb-leipzig,fc-augsburg,1.26,6.32,11.32,4,0,2.0,1.0,4.0,1.0,4,1,3,1,4,0
2,sc-freiburg,borussia-dortmund,5.5,4.59,1.55,2,1,1.0,2.0,1.0,2.0,1,2,1,2,2,1
4,sc-freiburg,1-fc-koeln,2.14,3.7,3.25,1,1,2.0,1.0,2.0,1.0,2,1,3,1,1,1
6,sc-freiburg,fc-augsburg,1.9,3.55,4.25,3,0,2.0,1.0,2.0,1.0,3,1,3,1,3,0
8,sc-freiburg,rb-leipzig,3.94,3.76,1.9,1,1,1.0,2.0,1.0,2.0,1,2,1,3,1,1
10,sc-freiburg,spvgg-greuther-fuerth,1.39,4.94,7.83,3,1,2.0,1.0,3.0,1.0,3,1,3,1,3,1
12,sc-freiburg,eintracht-frankfurt,2.02,3.6,3.63,0,2,2.0,1.0,2.0,1.0,2,1,3,1,0,2
15,sc-freiburg,1899-hoffenheim,2.41,3.54,2.89,1,2,2.0,1.0,2.0,1.0,2,1,2,2,1,2
17,sc-freiburg,bayer-leverkusen,2.69,3.61,2.53,2,1,1.0,2.0,1.0,1.0,2,1,2,2,2,1
18,sc-freiburg,arminia-bielefeld,1.63,4.01,5.47,2,2,2.0,1.0,2.0,1.0,3,1,3,1,2,2
20,sc-freiburg,vfb-stuttgart,1.97,3.5,3.96,2,0,2.0,1.0,2.0,1.0,2,1,3,1,2,0
22,sc-freiburg,1-fsv-mainz-05,2.15,3.45,3.46,1,1,2.0,1.0,2.0,1.0,2,1,2,1,1,1
24,sc-freiburg,hertha-bsc,1.57,4.3,5.79,3,0,2.0,1.0,3.0,1.0,3,1,3,1,3,0
26,sc-freiburg,vfl-wolfsburg,2.1,3.52,3.52,3,2,2.0,1.0,2.0,1.0,2,1,3,1,3,2
28,sc-freiburg,fc-bayern-muenchen,5.66,4.82,1.52,1,4,1.0,2.0,1.0,3.0,1,3,1,3,1,4
30,sc-freiburg,vfl-bochum,1.68,4.02,5.07,3,0,2.0,1.0,2.0,1.0,3,1,3,1,3,0
31,sc-freiburg,borussia-moenchengladbach,1.85,3.91,4.06,3,3,2.0,1.0,2.0,1.0,3,1,3,1,3,3
33,sc-freiburg,1-fc-union-berlin,1.95,3.71,3.86,1,4,2.0,1.0,2.0,1.0,3,1,3,1,1,4
2,spvgg-greuther-fuerth,arminia-bielefeld,2.57,3.39,2.77,1,1,2.0,1.0,1.0,1.0,1,1,1,1,1,1
4,spvgg-greuther-fuerth,vfl-wolfsburg,5.52,4.29,1.59,0,2,1.0,2.0,1.0,2.0,1,3,1,3,0,2
6,spvgg-greuther-fuerth,fc-bayern-muenchen,22.54,12.09,1.1,1,3,1.0,2.0,1.0,4.0,1,4,1,3,1,3
8,spvgg-greuther-fuerth,vfl-bochum,2.43,3.44,2.9,0,1,2.0,1.0,2.0,1.0,1,2,1,2,0,1
11,spvgg-greuther-fuerth,eintracht-frankfurt,3.72,3.76,1.96,1,2,1.0,2.0,1.0,2.0,1,2,1,3,1,2
13,spvgg-greuther-fuerth,1899-hoffenheim,4.8,4.3,1.65,3,6,1.0,2.0,1.0,2.0,1,2,1,3,3,6
15,spvgg-greuther-fuerth,1-fc-union-berlin,4.68,3.97,1.72,1,0,1.0,2.0,1.0,2.0,1,2,1,3,1,0
17,spvgg-greuther-fuerth,fc-augsburg,2.93,3.47,2.41,0,0,1.0,2.0,1.0,2.0,1,2,1,2,0,0
18,spvgg-greuther-fuerth,vfb-stuttgart,3.65,3.64,2.01,0,0,1.0,2.0,1.0,2.0,1,2,1,3,0,0
20,spvgg-greuther-fuerth,1-fsv-mainz-05,4.7,3.6,1.81,2,1,1.0,2.0,1.0,2.0,1,2,1,3,2,1
22,spvgg-greuther-fuerth,hertha-bsc,2.98,3.36,2.43,2,1,1.0,2.0,1.0,2.0,1,2,1,2,2,1
24,spvgg-greuther-fuerth,1-fc-koeln,3.56,3.68,2.05,1,1,1.0,2.0,1.0,2.0,1,2,1,3,1,1
26,spvgg-greuther-fuerth,rb-leipzig,8.43,5.37,1.35,1,6,1.0,2.0,1.0,3.0,1,3,1,3,1,6
27,spvgg-greuther-fuerth,sc-freiburg,4.76,4.06,1.71,0,0,1.0,2.0,1.0,2.0,1,3,1,3,0,0
29,spvgg-greuther-fuerth,borussia-moenchengladbach,4.77,4.11,1.7,0,2,1.0,2.0,1.0,2.0,1,3,1,3,0,2
31,spvgg-greuther-fuerth,bayer-leverkusen,8.5,5.33,1.36,1,4,1.0,2.0,1.0,3.0,1,3,1,4,1,4
33,spvgg-greuther-fuerth,borussia-dortmund,9.0,5.93,1.31,1,3,1.0,2.0,1.0,3.0,1,4,1,4,1,3
1,vfb-stuttgart,spvgg-greuther-fuerth,1.86,3.9,3.98,5,1,2.0,1.0,2.0,1.0,2,1,2,1,5,1
3,vfb-stuttgart,sc-freiburg,2.23,3.53,3.22,2,3,2.0,1.0,2.0,1.0,2,1,2,1,2,3
5,vfb-stuttgart,bayer-leverkusen,3.18,3.73,2.16,1,3,1.0,2.0,1.0,2.0,1,2,1,3,1,3
7,vfb-stuttgart,1899-hoffenheim,2.66,3.83,2.46,3,1,1.0,2.0,1.0,1.0,1,1,1,3,3,1
9,vfb-stuttgart,1-fc-union-berlin,2.48,3.45,2.82,1,1,2.0,1.0,2.0,1.0,2,1,2,1,1,1
11,vfb-stuttgart,arminia-bielefeld,1.89,3.64,4.16,0,1,2.0,1.0,2.0,1.0,2,1,3,1,0,1
13,vfb-stuttgart,1-fsv-mainz-05,2.89,3.27,2.54,2,1,1.0,2.0,1.0,2.0,1,1,1,2,2,1
14,vfb-stuttgart,hertha-bsc,2.27,3.36,3.28,2,2,2.0,1.0,2.0,1.0,2,1,2,1,2,2
16,vfb-stuttgart,fc-bayern-muenchen,9.55,6.36,1.29,0,5,1.0,2.0,1.0,4.0,1,3,1,3,0,5
19,vfb-stuttgart,rb-leipzig,5.4,4.36,1.58,0,2,1.0,2.0,1.0,2.0,1,3,1,3,0,2
21,vfb-stuttgart,eintracht-frankfurt,2.68,3.54,2.58,2,3,1.0,2.0,1.0,1.0,2,1,1,2,2,3
23,vfb-stuttgart,vfl-bochum,2.22,3.45,3.32,1,1,2.0,1.0,2.0,1.0,2,1,2,1,1,1
25,vfb-stuttgart,borussia-moenchengladbach,3.17,3.65,2.2,3,2,1.0,2.0,1.0,2.0,1,2,1,3,3,2
27,vfb-stuttgart,fc-augsburg,2.05,3.55,3.67,3,2,2.0,1.0,2.0,1.0,2,1,3,1,3,2
29,vfb-stuttgart,borussia-dortmund,3.97,3.98,1.86,0,2,1.0,2.0,1.0,2.0,1,3,1,3,0,2
32,vfb-stuttgart,vfl-wolfsburg,2.05,3.65,3.58,1,1,2.0,1.0,2.0,1.0,2,1,3,1,1,1
34,vfb-stuttgart,1-fc-koeln,2.22,4.07,2.9,2,1,2.0,1.0,2.0,1.0,2,1,2,2,2,1
2,vfl-bochum,1-fsv-mainz-05,2.66,3.51,2.6,2,0,1.0,2.0,1.0,1.0,1,1,1,1,2,0
4,vfl-bochum,hertha-bsc,2.78,3.35,2.58,1,3,1.0,2.0,1.0,1.0,1,1,1,2,1,3
6,vfl-bochum,vfb-stuttgart,3.03,3.53,2.32,0,0,1.0,2.0,1.0,2.0,1,2,1,3,0,0
9,vfl-bochum,eintracht-frankfurt,3.13,3.54,2.24,2,0,1.0,2.0,1.0,2.0,1,2,1,2,2,0
11,vfl-bochum,1899-hoffenheim,3.66,3.79,1.97,2,0,1.0,2.0,1.0,2.0,1,2,1,3,2,0
13,vfl-bochum,sc-freiburg,3.26,3.28,2.3,2,1,1.0,2.0,1.0,2.0,1,2,1,2,2,1
15,vfl-bochum,borussia-dortmund,5.98,4.72,1.5,1,1,1.0,2.0,1.0,3.0,1,3,1,3,1,1
17,vfl-bochum,1-fc-union-berlin,3.02,3.31,2.43,0,1,1.0,2.0,1.0,2.0,1,2,1,2,0,1
18,vfl-bochum,vfl-wolfsburg,3.45,3.52,2.12,1,0,1.0,2.0,1.0,2.0,1,2,1,3,1,0
20,vfl-bochum,1-fc-koeln,3.26,3.44,2.24,2,2,1.0,2.0,1.0,2.0,1,2,1,2,2,2
22,vfl-bochum,fc-bayern-muenchen,11.91,7.28,1.22,4,2,1.0,2.0,1.0,4.0,1,4,1,3,4,2
24,vfl-bochum,rb-leipzig,5.17,4.09,1.65,0,1,1.0,2.0,1.0,2.0,1,2,1,3,0,1
25,vfl-bochum,spvgg-greuther-fuerth,1.79,3.72,4.69,2,1,2.0,1.0,2.0,1.0,3,1,3,1,2,1
29,vfl-bochum,bayer-leverkusen,4.11,4.08,1.81,0,0,1.0,2.0,1.0,2.0,1,2,1,3,0,0
31,vfl-bochum,fc-augsburg,2.28,3.27,3.38,0,2,2.0,1.0,2.0,1.0,2,1,2,1,0,2
33,vfl-bochum,arminia-bielefeld,2.19,3.59,3.27,2,1,2.0,1.0,2.0,1.0,2,1,2,1,2,1
1,vfl-wolfsburg,vfl-bochum,1.57,4.37,5.63,1,0,2.0,1.0,3.0,1.0,3,1,3,1,1,0
3,vfl-wolfsburg,rb-leipzig,3.46,3.55,2.11,1,0,1.0,2.0,1.0,2.0,1,2,1,2,1,0
5,vfl-wolfsburg,eintracht-frankfurt,1.84,3.77,4.23,1,1,2.0,1.0,2.0,1.0,3,1,3,1,1,1
7,vfl-wolfsburg,borussia-moenchengladbach,2.18,3.52,3.31,1,3,2.0,1.0,2.0,1.0,2,1,3,1,1,3
9,vfl-wolfsburg,sc-freiburg,2.18,3.3,3.52,0,2,2.0,1.0,2.0,1.0,2,1,2,1,0,2
11,vfl-wolfsburg,fc-augsburg,1.54,4.24,6.25,1,0,2.0,1.0,3.0,1.0,3,1,3,1,1,0
13,vfl-wolfsburg,borussia-dortmund,2.92,3.49,2.4,1,3,1.0,2.0,1.0,2.0,1,2,1,3,1,3
15,vfl-wolfsburg,vfb-stuttgart,1.85,3.68,4.32,0,2,2.0,1.0,2.0,1.0,3,1,3,1,0,2
16,vfl-wolfsburg,1-fc-koeln,2.18,3.49,3.36,2,3,2.0,1.0,2.0,1.0,2,1,3,1,2,3
19,vfl-wolfsburg,hertha-bsc,1.98,3.52,3.88,0,0,2.0,1.0,2.0,1.0,3,1,3,1,0,0
21,vfl-wolfsburg,spvgg-greuther-fuerth,1.58,4.06,5.92,4,1,2.0,1.0,3.0,1.0,3,1,3,1,4,1
23,vfl-wolfsburg,1899-hoffenheim,2.73,3.5,2.57,1,2,1.0,2.0,1.0,1.0,2,1,1,2,1,2
25,vfl-wolfsburg,1-fc-union-berlin,2.23,3.3,3.44,1,0,2.0,1.0,2.0,1.0,2,1,2,1,1,0
27,vfl-wolfsburg,bayer-leverkusen,3.01,3.53,2.35,0,2,1.0,2.0,1.0,2.0,1,2,1,2,0,2
29,vfl-wolfsburg,arminia-bielefeld,1.67,3.88,5.3,4,0,2.0,1.0,2.0,1.0,3,1,3,1,4,0
31,vfl-wolfsburg,1-fsv-mainz-05,2.35,3.4,3.14,5,0,2.0,1.0,2.0,1.0,2,1,2,1,5,0
34,vfl-wolfsburg,fc-bayern-muenchen,4.97,5.11,1.55,2,2,1.0,2.0,1.0,2.0,1,3,1,3,2,2
